Temperature: loadcase=1,period=1
  11            0.348
  12            0.350
  13            0.345
  14            0.353
  15            0.345
  16            0.353
Temperature: loadcase=1,period=62
   1            4.344
   2            4.344
   3            4.344
   4            4.344
   5            4.344
   6            4.344
   7            4.344
   8            4.344
   9            0.337
  10            0.337
  11            0.336
  12            0.337
  13            0.338
  14            0.335
  15            0.338
  16            0.335
Temperature: loadcase=1,period=63
   1            4.323
   2            4.323
   3            4.323
   4            4.323
   5            4.323
   6            4.323
   7            4.323
   8            4.323
   9            0.308
  10            0.308
  11            0.308
  12            0.308
  13            0.307
  14            0.310
  15            0.307
  16            0.310
Temperature: loadcase=1,period=64
   1            4.303
   2            4.303
   3            4.303
   4            4.303
   5            4.303
   6            4.303
   7            4.303
   8            4.303
   9            0.298
  10            0.297
  11            0.297
  12            0.297
  13            0.297
  14            0.297
  15            0.298
  16            0.297
Temperature: loadcase=1,period=65
   1            4.285
   2            4.285
   3            4.285
   4            4.285
   5            4.285
   6            4.285
   7            4.285
   8            4.285
   9            0.273
  10            0.271
  11            0.273
  12            0.272
  13            0.272
  14            0.273
  15            0.272
  16            0.272
Temperature: loadcase=1,period=66
   1            4.268
   2            4.268
   3            4.268
   4            4.268
   5            4.268
   6            4.268
   7            4.268
   8            4.268
   9            0.262
  10            0.262
  11            0.262
  12            0.262
  13            0.258
  14            0.266
  15            0.259
  16            0.266
Temperature: loadcase=1,period=67
   1            4.251
   2            4.251
   3            4.251
   4            4.251
   5            4.251
   6            4.251
   7            4.251
   8            4.251
   9            0.240
  10            0.241
  11            0.240
  12            0.241
  13            0.243
  14            0.238
  15            0.243
  16            0.238
Temperature: loadcase=1,period=68
   1            4.236
   2            4.237
   3            4.236
   4            4.237
   5            4.236
   6            4.236
   7            4.236
   8            4.236
   9            0.236
  10            0.227
  11            0.235
  12            0.227
  13            0.222
  14            0.240
  15            0.223
  16            0.240
Temperature: loadcase=1,period=69
   1            4.222
   2            4.222
   3            4.222
   4            4.222
   5            4.222
   6            4.222
   7            4.222
   8            4.222
   9            0.209
  10            0.216
  11            0.209
  12            0.216
  13            0.218
  14            0.207
  15            0.218
  16            0.207
Temperature: loadcase=1,period=70
   1            4.209
   2            4.209
   3            4.209
   4            4.209
   5            4.209
   6            4.209
   7            4.209
   8            4.209
   9            0.206
  10            0.202
  11            0.206
  12            0.202
  13            0.198
  14            0.211
  15            0.198
  16            0.210
Temperature: loadcase=1,period=71
   1            4.196
   2            4.196
   3            4.196
   4            4.196
   5            4.196
   6            4.196
